owner_id,name,screen_name,members_count,is_gov,posts,likes_declared,comments_declared,views,likes_total,likes_from_subs,unique_likers,unique_sub_likers,comments_total,comments_from_subs,unique_commenters,size_bucket,segment,avg_likes_per_post,share_likes_from_subs,sub_like_reach
-43366760,Велопрокат  Новочебоксарск реально работающий,club43366760,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-135206108,Кадеты Новочебоксарска!,club135206108,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-99882476,Кафе Валдай,kafevaldai,409,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,100–1K,Обычные,1.0,0.0,0.0
-28838707,Школа ПАРКУРА в Новочебоксарске,club28838707,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-180465979,Кератиновое выпрямление Новочебоксарск,publicbotox,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-103375900,ArtCosmetic Новочебоксарск,artcosm21,102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-132515853,Nail Новочебоксарск,club132515853,84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-122745877,Барахолка/Новочебоксарск/Чебоксары/Чувашия/Даром,club122745877,133,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-203943808,Витапластика в Новочебоксарске,vitaplastika_nchk,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-25436288,Страйкбол в Новочебоксарске.,club25436288,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-198640786,Пункты выдачи заказов OZON г. Новочебоксарск,ozon_nchk,239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-198287136,Avon / FABERLIK Новочебоксарск,club198287136,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-68021543,Фотосессия в Новочебоксарске,club68021543,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-212496179,Подслушано Новочебоксарск,club212496179,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-41037435,"Работа, вакансии в Новочебоксарске",club41037435,284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-236889553,Кухни на заказ | Новочебоксарск,kuhni_novocheboksarsk,48,0,5.0,2.0,0.0,1544.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,<100,Обычные,0.4,0.0,0.0
-7213278,Пловцы из Новочебоксарска!!!,club7213278,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-48922972,Питание для Чемпионов в Новочебоксарске,chempionpit,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-123833826,"| Shellac | Новочебоксарск, Чебоксары",club123833826,84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-197133264,"WebPatriot Новочебоксарск  Бизнес идеи, Предприн",club197133264,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-187201022,Натяжные потолки РАДУГА в новочебоксарске,club187201022,117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-197342418,Вы очевидец Новочебоксарск подслушано жесть дтп,club197342418,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-106013029,Фотограф Крохалева Анна Новочебоксарск-Чебоксары,krohalevaphoto,102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-94439959,"Комбинация 'Рынок Новочебоксарский'"" ТЦ""",dekoltenchk,156,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
